Scene,Pipeline,Codec,Target_bitrate,Lambda,bitstream (bytes),bitrate
Bicycle,CSR,PLENO,0.05,32000,43400,0.052978515625
Bicycle,CSR,PLENO,0.1,10500,84700,0.1033935546875
Bicycle,CSR,PLENO,0.22,2800,179300,0.2188720703125
Bicycle,CSR,PLENO,0.47,720,386400,0.4716796875
Bicycle,CSR,PLENO,1,180,817800,0.998291015625
Bicycle,SRC,PLENO,0.05,19000,659300,0.0503005981445313
Bicycle,SRC,PLENO,0.1,3500,1400000,0.1068115234375
Bicycle,SRC,PLENO,0.22,700,2900000,0.22125244140625
Bicycle,SRC,PLENO,0.47,150,6300000,0.48065185546875
Bicycle,SRC,PLENO,1,32,13200000,1.007080078125
Bikes,CSR,PLENO,0.05,25000,40500,0.047778801843318
Bikes,CSR,PLENO,0.1,7000,82900,0.0977990783410138
Bikes,CSR,PLENO,0.22,1800,188400,0.222259907834101
Bikes,CSR,PLENO,0.47,600,400200,0.47212534562212
Bikes,CSR,PLENO,1,200,845600,0.997574193548387
Bikes,SRC,PLENO,0.05,5000,682000,0.0502857142857143
Bikes,SRC,PLENO,0.1,1000,1400000,0.103225806451613
Bikes,SRC,PLENO,0.22,150,3100000,0.228571428571429
Bikes,SRC,PLENO,0.47,25,6500000,0.47926267281106
Bikes,SRC,PLENO,1,5,14200000,1.04700460829493
Chart,CSR,PLENO,0.05,40000,46800,0.0555555555555556
Chart,CSR,PLENO,0.1,10000,91800,0.108974358974359
Chart,CSR,PLENO,0.22,2500,190400,0.226020892687559
Chart,CSR,PLENO,0.47,500,407200,0.48338081671415
Chart,CSR,PLENO,1,150,844600,1.00261158594492
Chart,SRC,PLENO,0.05,10000,697200,0.051727207977208
Chart,SRC,PLENO,0.1,1500,1400000,0.103869895536562
Chart,SRC,PLENO,0.22,290,3000000,0.222578347578348
Chart,SRC,PLENO,0.47,50,6300000,0.46741452991453
Chart,SRC,PLENO,1,9,13300000,0.986764007597341
Fountain,CSR,PLENO,0.05,25000,43300,0.0514007597340931
Fountain,CSR,PLENO,0.1,9000,83800,0.0994776828110161
Fountain,CSR,PLENO,0.22,2300,190700,0.226377018043685
Fountain,CSR,PLENO,0.47,750,397400,0.471747388414055
Fountain,CSR,PLENO,1,230,850500,1.00961538461538
Fountain,SRC,PLENO,0.05,5000,746800,0.0550635944700461
Fountain,SRC,PLENO,0.1,1300,1400000,0.103225806451613
Fountain,SRC,PLENO,0.22,250,3100000,0.228571428571429
Fountain,SRC,PLENO,0.47,50,6500000,0.47926267281106
Fountain,SRC,PLENO,1,9,13700000,1.01013824884793
Sideboard,CSR,PLENO,0.05,50000,41700,0.0509033203125
Sideboard,CSR,PLENO,0.1,16000,89200,0.10888671875
Sideboard,CSR,PLENO,0.22,5700,181300,0.2213134765625
Sideboard,CSR,PLENO,0.47,1750,386800,0.47216796875
Sideboard,CSR,PLENO,1,465,821100,1.0023193359375
Sideboard,SRC,PLENO,0.05,35000,658800,0.050262451171875
Sideboard,SRC,PLENO,0.1,8000,1300000,0.09918212890625
Sideboard,SRC,PLENO,0.22,1400,2900000,0.22125244140625
Sideboard,SRC,PLENO,0.47,230,6200000,0.4730224609375
Sideboard,SRC,PLENO,1,38,13000000,0.9918212890625
general_11,CSR,PLENO,0.05,5200,32400,0.051063829787234
general_11,CSR,PLENO,0.1,1300,68600,0.108116627265563
general_11,CSR,PLENO,0.22,410,140600,0.221591804570528
general_11,CSR,PLENO,0.47,230,294300,0.463829787234043
general_11,CSR,PLENO,1,120,631300,0.994956658786446
general_11,SRC,PLENO,0.05,1500,499300,0.049182427107959
general_11,SRC,PLENO,0.1,300,1100000,0.108353033884949
general_11,SRC,PLENO,0.22,60,2200000,0.216706067769898
general_11,SRC,PLENO,0.47,11,4700000,0.462962962962963
general_11,SRC,PLENO,1,2,10400000,1.02442868400315
