Scene,Pipeline,Codec,Target_bitrate,QP,bitstream (bytes),bitrate
Bicycle,CSR,VVC,0.05,32,39600,0.04833984375
Bicycle,CSR,VVC,0.1,27,84500,0.1031494140625
Bicycle,CSR,VVC,0.22,22,186500,0.2276611328125
Bicycle,CSR,VVC,0.47,17,410500,0.5010986328125
Bicycle,CSR,VVC,1,13,846600,1.033447265625
Bicycle,SRC,VVC,0.05,24,683500,0.0521469116210938
Bicycle,SRC,VVC,0.1,20,1400000,0.1068115234375
Bicycle,SRC,VVC,0.22,17,2500000,0.19073486328125
Bicycle,SRC,VVC,0.47,12,6400000,0.48828125
Bicycle,SRC,VVC,1,8,13500000,1.02996826171875
Bikes,CSR,VVC,0.05,30,45500,0.0536774193548387
Bikes,CSR,VVC,0.1,27,78100,0.0921364055299539
Bikes,CSR,VVC,0.22,23,180300,0.212704147465438
Bikes,CSR,VVC,0.47,19,415900,0.490647004608295
Bikes,CSR,VVC,1,16,965900,1.13949493087558
Bikes,SRC,VVC,0.05,22,675100,0.0497769585253456
Bikes,SRC,VVC,0.1,17,1600000,0.117972350230415
Bikes,SRC,VVC,0.22,13,3200000,0.23594470046083
Bikes,SRC,VVC,0.47,9,7000000,0.516129032258065
Bikes,SRC,VVC,1,6,13100000,0.965898617511521
Chart,CSR,VVC,0.05,29,45000,0.0534188034188034
Chart,CSR,VVC,0.1,26,81000,0.0961538461538462
Chart,CSR,VVC,0.22,22,191600,0.227445394112061
Chart,CSR,VVC,0.47,19,369300,0.438390313390313
Chart,CSR,VVC,1,16,875100,1.03881766381766
Chart,SRC,VVC,0.05,22,737600,0.0547245963912631
Chart,SRC,VVC,0.1,18,1500000,0.111289173789174
Chart,SRC,VVC,0.22,14,3200000,0.237416904083571
Chart,SRC,VVC,0.47,10,6200000,0.459995251661918
Chart,SRC,VVC,1,5,13700000,1.01644112060779
Fountain,CSR,VVC,0.05,31,44400,0.0523797235023041
Fountain,CSR,VVC,0.1,28,80100,0.0944958525345622
Fountain,CSR,VVC,0.22,24,182800,0.215653456221198
Fountain,CSR,VVC,0.47,20,423000,0.499023041474654
Fountain,CSR,VVC,1,17,770200,0.908623041474654
Fountain,SRC,VVC,0.05,25,692800,0.049182427107959
Fountain,SRC,VVC,0.1,20,1500000,0.108353033884949
Fountain,SRC,VVC,0.22,16,3000000,0.216706067769898
Fountain,SRC,VVC,0.47,11,6600000,0.462962962962963
Fountain,SRC,VVC,1,7,13800000,1.02442868400315
Sideboard,CSR,VVC,0.05,33,42300,0.0516357421875
Sideboard,CSR,VVC,0.1,28,80800,0.0986328125
Sideboard,CSR,VVC,0.22,22,184700,0.2254638671875
Sideboard,CSR,VVC,0.47,18,359200,0.4384765625
Sideboard,CSR,VVC,1,14,789000,0.963134765625
Sideboard,SRC,VVC,0.05,26,619300,0.0472488403320313
Sideboard,SRC,VVC,0.1,22,1300000,0.09918212890625
Sideboard,SRC,VVC,0.22,18,2700000,0.20599365234375
Sideboard,SRC,VVC,0.47,13,6200000,0.4730224609375
Sideboard,SRC,VVC,1,8,13300000,1.01470947265625
general_11,CSR,VVC,0.05,25,34400,0.0542159180457053
general_11,CSR,VVC,0.1,23,65900,0.103861308116627
general_11,CSR,VVC,0.22,21,127100,0.200315208825847
general_11,CSR,VVC,0.47,19,287400,0.452955082742317
general_11,CSR,VVC,1,16,721800,1.13758865248227
general_11,SRC,VVC,0.05,19,471000,0.0463947990543735
general_11,SRC,VVC,0.1,15,1100000,0.108353033884949
general_11,SRC,VVC,0.22,11,2400000,0.236406619385343
general_11,SRC,VVC,0.47,7,4800000,0.472813238770686
general_11,SRC,VVC,1,3,10300000,1.01457840819543
